"","< 25","25 - 50","50 - 100","> 100"
"NM_001032409.1:805",0.6,0.2,0.166666666666667,0.0333333333333333
"NM_000076.2:1605",0.6,0.3,0.1,0
"NM_007115.3:165",0.6,0.1,0.133333333333333,0.166666666666667
"NM_002994.4:475",0.6,0.0666666666666667,0.1,0.233333333333333
"NM_003811.3:239",0.6,0.366666666666667,0.0333333333333333,0
"NM_000179.2:1015",0.6,0.366666666666667,0.0333333333333333,0
"NM_002341.1:330",0.6,0.4,0,0
"NM_006509.3:956",0.6,0.333333333333333,0.0666666666666667,0
"NM_001699.4:1535",0.6,0.3,0.1,0
"NM_002609.3:460",0.6,0.266666666666667,0.1,0.0333333333333333
"NM_003824.3:810",0.6,0.4,0,0
"NM_001270930.1:1675",0.6,0.266666666666667,0.133333333333333,0
"NM_001171653.1:1879",0.6,0.166666666666667,0.133333333333333,0.1
"NM_000616.4:1524",0.6,0.333333333333333,0.0666666666666667,0
"NR_024115.1:2175",0.6,0.366666666666667,0.0333333333333333,0
"NM_002048.2:948",0.6,0.333333333333333,0.0666666666666667,0
"NM_005923.3:3371",0.6,0.266666666666667,0.133333333333333,0
"NM_000733.3:233",0.6,0.4,0,0
"NM_012483.3:540",0.6,0.2,0.166666666666667,0.0333333333333333
"NM_007361.3:1995",0.6,0.3,0.1,0
"NM_001350234.1:664",0.6,0.4,0,0
"NM_001277163.2:807",0.6,0.3,0.1,0
"NM_006871.3:1072",0.6,0.4,0,0
"NM_001020658.1:640",0.6,0.166666666666667,0.233333333333333,0
"NM_032364.5:787",0.6,0.3,0.1,0
"NM_017970.3:3233",0.6,0.3,0.1,0
"NM_004448.2:2405",0.566666666666667,0.433333333333333,0,0
"NM_002801.3:249",0.566666666666667,0.166666666666667,0.266666666666667,0
"NM_001024736.1:2119",0.566666666666667,0.233333333333333,0.0666666666666667,0.133333333333333
"NM_001797.2:152",0.566666666666667,0.233333333333333,0.166666666666667,0.0333333333333333
"NM_001657.3:717",0.566666666666667,0.0333333333333333,0.266666666666667,0.133333333333333
"NM_002993.3:308",0.566666666666667,0.2,0.166666666666667,0.0666666666666667
"NM_001145646.1:541",0.566666666666667,0.4,0.0333333333333333,0
"NM_001330491.1:2559",0.566666666666667,0.166666666666667,0.1,0.166666666666667
"NM_030761.4:2935",0.566666666666667,0.366666666666667,0.0666666666666667,0
"NM_002125.3:135",0.566666666666667,0.1,0.0333333333333333,0.3
"NM_001547.4:1995",0.566666666666667,0.333333333333333,0.1,0
"NM_002053.2:1838",0.566666666666667,0.233333333333333,0.0333333333333333,0.166666666666667
"NM_002029.3:625",0.566666666666667,0.233333333333333,0.133333333333333,0.0666666666666667
"NM_016817.2:380",0.566666666666667,0.2,0.2,0.0333333333333333
"NM_133278.2:750",0.566666666666667,0.433333333333333,0,0
"NM_001323611.1:1085",0.566666666666667,0.233333333333333,0.166666666666667,0.0333333333333333
