"","ProbeID","Codeset.Name","Probe.Label","Analyte.Type","Is.Control","Control.Type","Related.Probes","Probe.Annotation","KEGG.Pathways","Cell.Type","Official.Gene.Name","probeLabel.Type","below.threshold"
"JAK3 - mRNA","NM_000215.2:1715","NS_IO_360_V1.0","JAK3","mRNA",0,"","","PI3K-Akt;JAK-STAT Signaling;Cytotoxicity;Cytokine and Chemokine Signaling","hsa04062;hsa04151;hsa04550;hsa04630;hsa05162;hsa05166;hsa05169;hsa05203;hsa05340","","JAK3","JAK3 - mRNA","True"
"ICAM5 - mRNA","NM_003259.3:718","NS_IO_360_V1.0","ICAM5","mRNA",0,"","","Immune Cell Adhesion and Migration","","","ICAM5","ICAM5 - mRNA","True"
"TDO2 - mRNA","NM_005651.3:315","NS_IO_360_V1.0","TDO2","mRNA",0,"","","","","","TDO2","TDO2 - mRNA","True"
"MICA - mRNA","NM_000247.1:550","NS_IO_360_V1.0","MICA","mRNA",0,"","","","hsa04650","","MICA","MICA - mRNA","False"
"HDAC11 - mRNA","NM_001330636.1:865","NS_IO_360_V1.0","HDAC11","mRNA",0,"","","Notch Signaling;Epigenetic Regulation","hsa05034;hsa05203","","HDAC11","HDAC11 - mRNA","False"
"EGF - mRNA","NM_001178130.2:2167","NS_IO_360_V1.0","EGF","mRNA",0,"","","PI3K-Akt;MAPK;Hypoxia","hsa04010;hsa04012;hsa04014;hsa04015;hsa04060;hsa04066;hsa04068;hsa04072;hsa04144;hsa04151;hsa04510;hsa04540;hsa04810;hsa05160;hsa05200;hsa05212;hsa05213;hsa05214;hsa05215;hsa05218;hsa05219;hsa05223;hsa05231","","EGF","EGF - mRNA","True"
"IKBKB - mRNA","NM_001190720.2:1891","NS_IO_360_V1.0","IKBKB","mRNA",0,"","","PI3K-Akt;NF-kappaB Signaling;Metabolic Stress;MAPK;Cytokine and Chemokine Signaling;Costimulatory Signaling","hsa04010;hsa04014;hsa04062;hsa04064;hsa04068;hsa04150;hsa04151;hsa04210;hsa04380;hsa04620;hsa04621;hsa04622;hsa04623;hsa04660;hsa04662;hsa04668;hsa04722;hsa04910;hsa04920;hsa04930;hsa04931;hsa04932;hsa05120;hsa05131;hsa05142;hsa05145;hsa05160;hsa05161;hsa05164;hsa05166;hsa05168;hsa05169;hsa05200;hsa05206;hsa05212;hsa05215;hsa05220;hsa05221;hsa05222","","IKBKB","IKBKB - mRNA","False"
"PDGFB - mRNA","NM_002608.2:1941","NS_IO_360_V1.0","PDGFB","mRNA",0,"","","PI3K-Akt;Matrix Remodeling and Metastasis;MAPK;Angiogenesis","hsa04010;hsa04014;hsa04015;hsa04060;hsa04072;hsa04151;hsa04510;hsa04540;hsa04810;hsa05166;hsa05200;hsa05206;hsa05211;hsa05214;hsa05215;hsa05218;hsa05231","","PDGFB","PDGFB - mRNA","True"
"IL1A - mRNA","NM_000575.3:2001","NS_IO_360_V1.0","IL1A","mRNA",0,"","","Myeloid Compartment;Metabolic Stress;MAPK;Cytokine and Chemokine Signaling","hsa04010;hsa04060;hsa04210;hsa04380;hsa04640;hsa04932;hsa04933;hsa04940;hsa05020;hsa05132;hsa05133;hsa05140;hsa05152;hsa05162;hsa05164;hsa05321;hsa05323;hsa05332","","IL1A","IL1A - mRNA","False"
"POLD1 - mRNA","NM_001256849.1:1356","NS_IO_360_V1.0","POLD1","mRNA",0,"","","DNA Damage Repair;Cell Proliferation","hsa00230;hsa00240;hsa03430;hsa03440;hsa05166","","POLD1","POLD1 - mRNA","False"
"AXIN1 - mRNA","NM_181050.1:2742","NS_IO_360_V1.0","AXIN1","mRNA",0,"","","Wnt Signaling","hsa04310;hsa04390;hsa04550;hsa05200;hsa05210;hsa05213;hsa05217","","AXIN1","AXIN1 - mRNA","False"
"PC - mRNA","NM_000920.3:262","NS_IO_360_V1.0","PC","mRNA",0,"","","Metabolic Stress","hsa00620","","PC","PC - mRNA","False"
"HERC6 - mRNA","NM_001165136.1:883","NS_IO_360_V1.0","HERC6","mRNA",0,"","","","","","HERC6","HERC6 - mRNA","False"
"IRF7 - mRNA","NM_004029.2:1705","NS_IO_360_V1.0","IRF7","mRNA",0,"","","Interferon Signaling","hsa04620;hsa04622;hsa04623;hsa05160;hsa05161;hsa05162;hsa05164;hsa05168;hsa05203","","IRF7","IRF7 - mRNA","False"
"RPTOR - mRNA","NM_001163034.1:3139","NS_IO_360_V1.0","RPTOR","mRNA",0,"","","PI3K-Akt;Metabolic Stress;Autophagy","hsa04150;hsa04151;hsa04152;hsa04211;hsa04213;hsa04910;hsa05206","","RPTOR","RPTOR - mRNA","False"
"TBC1D10B - mRNA","NM_015527.3:2915","NS_IO_360_V1.0","TBC1D10B","mRNA",1,"Housekeeping","","","","","TBC1D10B","TBC1D10B - mRNA","False"
"TAPBPL - mRNA","NM_018009.4:1425","NS_IO_360_V1.0","TAPBPL","mRNA",0,"","","","","","TAPBPL","TAPBPL - mRNA","False"
"TNFSF13 - mRNA","NM_003808.3:810","NS_IO_360_V1.0","TNFSF13","mRNA",0,"","","NF-kappaB Signaling","hsa04060;hsa04672;hsa05323","","TNFSF13","TNFSF13 - mRNA","False"
"CDKN1C - mRNA","NM_000076.2:1605","NS_IO_360_V1.0","CDKN1C","mRNA",0,"","","Cell Proliferation","hsa04110","","CDKN1C","CDKN1C - mRNA","False"
"CD274 - mRNA","NM_014143.3:1243","NS_IO_360_V1.0","CD274","mRNA",0,"","","Lymphoid Compartment;Immune Cell Adhesion and Migration;Costimulatory Signaling","hsa04514","","CD274","CD274 - mRNA","False"
"MX1 - mRNA","NM_001144925.2:1369","NS_IO_360_V1.0","MX1","mRNA",0,"","","Lymphoid Compartment;Interferon Signaling;Cytotoxicity","hsa05162;hsa05164","","MX1","MX1 - mRNA","False"
"SOCS1 - mRNA","NM_003745.1:1022","NS_IO_360_V1.0","SOCS1","mRNA",0,"","","JAK-STAT Signaling;Interferon Signaling;Antigen Presentation","hsa04120;hsa04380;hsa04630;hsa04910;hsa04917;hsa04930;hsa05145;hsa05206","","SOCS1","SOCS1 - mRNA","True"
"TMEM140 - mRNA","NM_018295.3:377","NS_IO_360_V1.0","TMEM140","mRNA",0,"","","","","","TMEM140","TMEM140 - mRNA","False"
"PLA1A - mRNA","NM_015900.2:1250","NS_IO_360_V1.0","PLA1A","mRNA",0,"","","MAPK","hsa04014","","PLA1A","PLA1A - mRNA","False"
"IFIH1 - mRNA","NM_022168.3:3250","NS_IO_360_V1.0","IFIH1","mRNA",0,"","","Interferon Signaling;Cytotoxicity","hsa04622;hsa05161;hsa05162;hsa05164;hsa05168","","IFIH1","IFIH1 - mRNA","False"
"IFIT2 - mRNA","NM_001547.4:1995","NS_IO_360_V1.0","IFIT2","mRNA",0,"","","Interferon Signaling;Cytotoxicity","","","IFIT2","IFIT2 - mRNA","False"
"MYCT1 - mRNA","NM_025107.2:159","NS_IO_360_V1.0","MYCT1","mRNA",0,"","","","","","MYCT1","MYCT1 - mRNA","True"
"PDGFRB - mRNA","NM_002609.3:460","NS_IO_360_V1.0","PDGFRB","mRNA",0,"","","PI3K-Akt;Metabolic Stress;MAPK","hsa04010;hsa04014;hsa04015;hsa04020;hsa04060;hsa04072;hsa04151;hsa04510;hsa04540;hsa04810;hsa05166;hsa05200;hsa05206;hsa05214;hsa05215;hsa05218;hsa05230;hsa05231","","PDGFRB","PDGFRB - mRNA","True"
"IL10 - mRNA","NM_000572.2:240","NS_IO_360_V1.0","IL10","mRNA",0,"","","JAK-STAT Signaling;Cytokine and Chemokine Signaling","hsa04060;hsa04068;hsa04630;hsa04660;hsa04672;hsa05133;hsa05140;hsa05142;hsa05143;hsa05144;hsa05145;hsa05146;hsa05150;hsa05152;hsa05169;hsa05310;hsa05320;hsa05321;hsa05322;hsa05330","","IL10","IL10 - mRNA","True"
"CD45RB - mRNA","ENST00000367367.1:131","NS_IO_360_V1.0","CD45RB","mRNA",0,"","","","","","","CD45RB - mRNA","True"
"FCGR1A - mRNA","NM_000566.3:561","NS_IO_360_V1.0","FCGR1A","mRNA",0,"","","Myeloid Compartment;Interferon Signaling;Antigen Presentation","hsa04145;hsa04380;hsa04640;hsa04666;hsa05140;hsa05150;hsa05152;hsa05202;hsa05322","","FCGR1A","FCGR1A - mRNA","True"
"CLEC5A - mRNA","NM_013252.2:615","NS_IO_360_V1.0","CLEC5A","mRNA",0,"","","Myeloid Compartment;Immune Cell Adhesion and Migration","","","CLEC5A","CLEC5A - mRNA","True"
"CD96 - mRNA","NM_005816.4:1355","NS_IO_360_V1.0","CD96","mRNA",0,"","","Lymphoid Compartment","","","CD96","CD96 - mRNA","True"
"MFNG - mRNA","NM_002405.3:1768","NS_IO_360_V1.0","MFNG","mRNA",0,"","","Notch Signaling","hsa04330","","MFNG","MFNG - mRNA","True"
"MS4A6A - mRNA","NM_152852.2:146","NS_IO_360_V1.0","MS4A6A","mRNA",0,"","","","","","MS4A6A","MS4A6A - mRNA","True"
"PTPRC - mRNA","NM_080921.3:99","NS_IO_360_V1.0","PTPRC","mRNA",0,"","NM_002838.4:258;NM_080921.3:258","Immune Cell Adhesion and Migration;Costimulatory Signaling","hsa04514;hsa04660;hsa04666;hsa05340","CD45","PTPRC","PTPRC - mRNA","True"
"WNT2B - mRNA","NM_001291880.1:1169","NS_IO_360_V1.0","WNT2B","mRNA",0,"","","Wnt Signaling;Hedgehog Signaling","hsa04310;hsa04340;hsa04390;hsa04550;hsa04916;hsa05166;hsa05200;hsa05205;hsa05217","","WNT2B","WNT2B - mRNA","True"
"LRRC32 - mRNA","NM_005512.2:3852","NS_IO_360_V1.0","LRRC32","mRNA",0,"","","","","","LRRC32","LRRC32 - mRNA","True"
"CD300A - mRNA","NM_001256841.1:371","NS_IO_360_V1.0","CD300A","mRNA",0,"","","Metabolic Stress","","","CD300A","CD300A - mRNA","True"
"GPSM3 - mRNA","NM_001276501.1:915","NS_IO_360_V1.0","GPSM3","mRNA",0,"","","","","","GPSM3","GPSM3 - mRNA","False"
"MMRN2 - mRNA","NM_024756.2:3040","NS_IO_360_V1.0","MMRN2","mRNA",0,"","","Angiogenesis","","","MMRN2","MMRN2 - mRNA","True"
"TGFB2 - mRNA","NM_001135599.3:1972","NS_IO_360_V1.0","TGFB2","mRNA",0,"","","TGF-beta Signaling;Matrix Remodeling and Metastasis;MAPK","hsa04010;hsa04060;hsa04068;hsa04110;hsa04144;hsa04350;hsa04380;hsa04390;hsa04933;hsa05140;hsa05142;hsa05144;hsa05145;hsa05146;hsa05152;hsa05161;hsa05166;hsa05200;hsa05205;hsa05206;hsa05210;hsa05211;hsa05212;hsa05220;hsa05321;hsa05323;hsa05410;hsa05414","","TGFB2","TGFB2 - mRNA","True"
"LAG3 - mRNA","NM_002286.5:1736","NS_IO_360_V1.0","LAG3","mRNA",0,"","","Lymphoid Compartment;Costimulatory Signaling","","Exhausted CD8","LAG3","LAG3 - mRNA","True"
"COL5A1 - mRNA","NM_000093.4:1133","NS_IO_360_V1.0","COL5A1","mRNA",0,"","","Matrix Remodeling and Metastasis","hsa04974","","COL5A1","COL5A1 - mRNA","True"
"CD6 - mRNA","NM_001254751.1:1722","NS_IO_360_V1.0","CD6","mRNA",0,"","","Lymphoid Compartment;Immune Cell Adhesion and Migration","hsa04514","T-cells","CD6","CD6 - mRNA","True"
"CD7 - mRNA","NM_006137.6:440","NS_IO_360_V1.0","CD7","mRNA",0,"","","Lymphoid Compartment","hsa04640","","CD7","CD7 - mRNA","True"
"GNG4 - mRNA","NM_001098721.1:2350","NS_IO_360_V1.0","GNG4","mRNA",0,"","","PI3K-Akt;MAPK;Cytokine and Chemokine Signaling","hsa04014;hsa04062;hsa04151;hsa04723;hsa04724;hsa04725;hsa04726;hsa04727;hsa04728;hsa05034;hsa05200","","GNG4","GNG4 - mRNA","True"
"TREM1 - mRNA","NM_001242589.2:101","NS_IO_360_V1.0","TREM1","mRNA",0,"","","Myeloid Compartment","","","TREM1","TREM1 - mRNA","True"
"NOD2 - mRNA","NM_022162.1:4080","NS_IO_360_V1.0","NOD2","mRNA",0,"","","","hsa04621;hsa04668;hsa05131;hsa05152;hsa05321","","NOD2","NOD2 - mRNA","True"
"SH2D1A - mRNA","NM_001114937.2:418","NS_IO_360_V1.0","SH2D1A","mRNA",0,"","","","hsa04650;hsa05162","T-cells","SH2D1A","SH2D1A - mRNA","True"
"CD247 - mRNA","NM_198053.2:329","NS_IO_360_V1.0","CD247","mRNA",0,"","","Costimulatory Signaling","hsa04650;hsa04660;hsa05142","","CD247","CD247 - mRNA","True"
"COL17A1 - mRNA","NM_000494.3:3330","NS_IO_360_V1.0","COL17A1","mRNA",0,"","","Myeloid Compartment;Matrix Remodeling and Metastasis","hsa04974","","COL17A1","COL17A1 - mRNA","True"
"SELP - mRNA","NM_003005.3:120","NS_IO_360_V1.0","SELP","mRNA",0,"","","Immune Cell Adhesion and Migration","hsa04514;hsa05144;hsa05150","","SELP","SELP - mRNA","True"
"CCL19 - mRNA","NM_006274.2:133","NS_IO_360_V1.0","CCL19","mRNA",0,"","","Cytokine and Chemokine Signaling","hsa04060;hsa04062;hsa04064","","CCL19","CCL19 - mRNA","True"
"IHH - mRNA","NM_002181.2:1693","NS_IO_360_V1.0","IHH","mRNA",0,"","","Hedgehog Signaling","hsa04340","","IHH","IHH - mRNA","True"
"GIMAP6 - mRNA","NR_024115.1:2175","NS_IO_360_V1.0","GIMAP6","mRNA",0,"","","","","","","GIMAP6 - mRNA","True"
"IL2 - mRNA","NM_000586.2:300","NS_IO_360_V1.0","IL2","mRNA",0,"","","PI3K-Akt;JAK-STAT Signaling;Cytokine and Chemokine Signaling;Costimulatory Signaling","hsa04060;hsa04151;hsa04630;hsa04660;hsa04672;hsa04940;hsa05142;hsa05162;hsa05166;hsa05320;hsa05321;hsa05330;hsa05332","","IL2","IL2 - mRNA","True"
"CD3E - mRNA","NM_000733.3:233","NS_IO_360_V1.0","CD3E","mRNA",0,"","","Lymphoid Compartment;Costimulatory Signaling","hsa04640;hsa04660;hsa05142;hsa05162;hsa05166;hsa05340","T-cells","CD3E","CD3E - mRNA","True"
"ANGPT2 - mRNA","NM_001147.2:1775","NS_IO_360_V1.0","ANGPT2","mRNA",0,"","","PI3K-Akt;MAPK;Hypoxia;Angiogenesis","hsa04014;hsa04015;hsa04066;hsa04151","","ANGPT2","ANGPT2 - mRNA","True"
"SIGLEC1 - mRNA","NM_023068.3:4559","NS_IO_360_V1.0","SIGLEC1","mRNA",0,"","","Immune Cell Adhesion and Migration","hsa04514","","SIGLEC1","SIGLEC1 - mRNA","True"
"CDH11 - mRNA","NM_001797.2:152","NS_IO_360_V1.0","CDH11","mRNA",0,"","","","","","CDH11","CDH11 - mRNA","True"
"S100A8 - mRNA","NM_002964.4:365","NS_IO_360_V1.0","S100A8","mRNA",0,"","","Myeloid Compartment","","","S100A8","S100A8 - mRNA","False"
"SOX11 - mRNA","NM_003108.3:4548","NS_IO_360_V1.0","SOX11","mRNA",0,"","","Wnt Signaling","","","SOX11","SOX11 - mRNA","True"
"TLR7 - mRNA","NM_016562.3:4120","NS_IO_360_V1.0","TLR7","mRNA",0,"","","","hsa04620;hsa05162;hsa05164","","TLR7","TLR7 - mRNA","True"
"PRKX - mRNA","NM_005044.4:462","NS_IO_360_V1.0","PRKX","mRNA",0,"","","Hedgehog Signaling","","","PRKX","PRKX - mRNA","True"
"IL2RB - mRNA","NM_000878.2:1980","NS_IO_360_V1.0","IL2RB","mRNA",0,"","","PI3K-Akt;JAK-STAT Signaling;Cytokine and Chemokine Signaling;Costimulatory Signaling","hsa04060;hsa04144;hsa04151;hsa04630;hsa05162;hsa05166;hsa05202","","IL2RB","IL2RB - mRNA","True"
"S100A12 - mRNA","NM_005621.1:260","NS_IO_360_V1.0","S100A12","mRNA",0,"","","Myeloid Compartment","","Neutrophils","S100A12","S100A12 - mRNA","True"
"MAGEA4 - mRNA","NM_001011548.1:782","NS_IO_360_V1.0","MAGEA4","mRNA",0,"","","","","","MAGEA4","MAGEA4 - mRNA","True"
"OTOA - mRNA","NM_001161683.1:1693","NS_IO_360_V1.0","OTOA","mRNA",0,"","","","","","OTOA","OTOA - mRNA","True"
"CXCL12 - mRNA","NM_199168.3:72","NS_IO_360_V1.0","CXCL12","mRNA",0,"","","Myeloid Compartment;Immune Cell Adhesion and Migration;Cytokine and Chemokine Signaling","hsa04060;hsa04062;hsa04064;hsa04360;hsa04670;hsa04672;hsa05200;hsa05323","","CXCL12","CXCL12 - mRNA","True"
"PTGER4 - mRNA","NM_000958.2:975","NS_IO_360_V1.0","PTGER4","mRNA",0,"","","","hsa04080;hsa04750;hsa05200","Exhausted CD8","PTGER4","PTGER4 - mRNA","True"
"ACVR1C - mRNA","NM_145259.2:5168","NS_IO_360_V1.0","ACVR1C","mRNA",0,"","","TGF-beta Signaling","hsa04350;hsa04550","","ACVR1C","ACVR1C - mRNA","True"
"NLRC5 - mRNA","NM_032206.4:3668","NS_IO_360_V1.0","NLRC5","mRNA",0,"","","","","","NLRC5","NLRC5 - mRNA","True"
"MRC1 - mRNA","NM_002438.2:525","NS_IO_360_V1.0","MRC1","mRNA",0,"","","Myeloid Compartment;Antigen Presentation","hsa04145;hsa05152","","MRC1","MRC1 - mRNA","True"
"CD1C - mRNA","NM_001765.2:564","NS_IO_360_V1.0","CD1C","mRNA",0,"","","Lymphoid Compartment;Antigen Presentation","hsa04640","","CD1C","CD1C - mRNA","True"
"CD3G - mRNA","NM_000073.2:404","NS_IO_360_V1.0","CD3G","mRNA",0,"","","Lymphoid Compartment;Costimulatory Signaling","hsa04640;hsa04660;hsa05142;hsa05162;hsa05166","T-cells","CD3G","CD3G - mRNA","True"
"COL11A1 - mRNA","NM_001854.3:5744","NS_IO_360_V1.0","COL11A1","mRNA",0,"","","Myeloid Compartment;Matrix Remodeling and Metastasis","hsa04974","","COL11A1","COL11A1 - mRNA","True"
"RIPK3 - mRNA","NM_006871.3:1072","NS_IO_360_V1.0","RIPK3","mRNA",0,"","","Apoptosis","hsa04623;hsa04668","","RIPK3","RIPK3 - mRNA","True"
"LTBP1 - mRNA","NM_000627.3:1970","NS_IO_360_V1.0","LTBP1","mRNA",0,"","","TGF-beta Signaling;Matrix Remodeling and Metastasis","hsa04350","","LTBP1","LTBP1 - mRNA","False"
"ELOB - mRNA","NM_007108.2:800","NS_IO_360_V1.0","ELOB","mRNA",0,"","","","hsa04066;hsa04120;hsa05200;hsa05211","","ELOB","ELOB - mRNA","True"
"ZC3H12A - mRNA","NM_025079.2:1379","NS_IO_360_V1.0","ZC3H12A","mRNA",0,"","","","","","ZC3H12A","ZC3H12A - mRNA","False"
"MAGEC1 - mRNA","NM_005462.4:338","NS_IO_360_V1.0","MAGEC1","mRNA",0,"","","","","","MAGEC1","MAGEC1 - mRNA","True"
"CD45RA - mRNA","NM_002838.4:258","NS_IO_360_V1.0","CD45RA","mRNA",0,"","NM_080921.3:258;NM_080921.3:99","","hsa04514;hsa04660;hsa04666;hsa05340","CD45","PTPRC","CD45RA - mRNA","True"
"HDAC5 - mRNA","NM_001015053.1:2169","NS_IO_360_V1.0","HDAC5","mRNA",0,"","","Notch Signaling;Epigenetic Regulation","hsa05034;hsa05169;hsa05203","","HDAC5","HDAC5 - mRNA","True"
"PRR5 - mRNA","NM_015366.3:1635","NS_IO_360_V1.0","PRR5","mRNA",0,"","","Metabolic Stress;Costimulatory Signaling","","","PRR5","PRR5 - mRNA","True"
"RASGRF1 - mRNA","NM_001145648.1:2843","NS_IO_360_V1.0","RASGRF1","mRNA",0,"","","MAPK","hsa04010;hsa04014;hsa04510","","RASGRF1","RASGRF1 - mRNA","True"
"SPIB - mRNA","NM_003121.3:1029","NS_IO_360_V1.0","SPIB","mRNA",0,"","","","","B-cells","SPIB","SPIB - mRNA","True"
"WNT11 - mRNA","XM_011545241.2:1015","NS_IO_360_V1.0","WNT11","mRNA",0,"","","Wnt Signaling;Hedgehog Signaling","","","","WNT11 - mRNA","True"
"IFNA1 - mRNA","NM_024013.1:667","NS_IO_360_V1.0","IFNA1","mRNA",0,"","","PI3K-Akt;JAK-STAT Signaling;Interferon Signaling","hsa04060;hsa04151;hsa04620;hsa04622;hsa04623;hsa04630;hsa04650;hsa05152;hsa05160;hsa05161;hsa05162;hsa05164;hsa05168;hsa05320","","IFNA1","IFNA1 - mRNA","True"
"PLA2G2A - mRNA","NM_000300.2:715","NS_IO_360_V1.0","PLA2G2A","mRNA",0,"","","MAPK","hsa04014;hsa04270","","PLA2G2A","PLA2G2A - mRNA","True"
"PNOC - mRNA","NM_001284244.1:241","NS_IO_360_V1.0","PNOC","mRNA",0,"","","","","B-cells","PNOC","PNOC - mRNA","True"
"PDCD1LG2 - mRNA","NM_025239.3:235","NS_IO_360_V1.0","PDCD1LG2","mRNA",0,"","","Immune Cell Adhesion and Migration;Costimulatory Signaling","hsa04514","","PDCD1LG2","PDCD1LG2 - mRNA","True"
"RORC - mRNA","NM_001001523.1:2839","NS_IO_360_V1.0","RORC","mRNA",0,"","","","hsa05321","","RORC","RORC - mRNA","True"
"WNT4 - mRNA","NM_030761.4:2935","NS_IO_360_V1.0","WNT4","mRNA",0,"","","Wnt Signaling;Hedgehog Signaling","hsa04310;hsa04340;hsa04390;hsa04550;hsa04916;hsa04919;hsa05166;hsa05200;hsa05205;hsa05217","","WNT4","WNT4 - mRNA","True"
"FCRL2 - mRNA","NM_001159488.1:132","NS_IO_360_V1.0","FCRL2","mRNA",0,"","","","","B-cells","FCRL2","FCRL2 - mRNA","True"
"FGF9 - mRNA","NM_002010.2:4170","NS_IO_360_V1.0","FGF9","mRNA",0,"","","PI3K-Akt;MAPK","hsa04010;hsa04014;hsa04015;hsa04151;hsa04810;hsa05200;hsa05218","","FGF9","FGF9 - mRNA","True"
"NLRP3 - mRNA","NM_001079821.2:3335","NS_IO_360_V1.0","NLRP3","mRNA",0,"","","Myeloid Compartment","hsa04621;hsa05133;hsa05164","","NLRP3","NLRP3 - mRNA","True"
"CSF2RB - mRNA","NM_000395.2:1547","NS_IO_360_V1.0","CSF2RB","mRNA",0,"","","JAK-STAT Signaling;Cytokine and Chemokine Signaling","hsa04060;hsa04210;hsa04630","","CSF2RB","CSF2RB - mRNA","True"
"TRAT1 - mRNA","NM_016388.3:578","NS_IO_360_V1.0","TRAT1","mRNA",0,"","","Costimulatory Signaling","","T-cells","TRAT1","TRAT1 - mRNA","True"
"APLNR - mRNA","NM_005161.4:629","NS_IO_360_V1.0","APLNR","mRNA",0,"","","","hsa04080","","APLNR","APLNR - mRNA","True"
"CD209 - mRNA","NM_021155.2:1532","NS_IO_360_V1.0","CD209","mRNA",0,"","","","hsa04145;hsa05152;hsa05162","DC","CD209","CD209 - mRNA","True"
"DUSP2 - mRNA","NM_004418.3:1235","NS_IO_360_V1.0","DUSP2","mRNA",0,"","","MAPK","hsa04010","","DUSP2","DUSP2 - mRNA","True"
"GNLY - mRNA","NM_012483.3:540","NS_IO_360_V1.0","GNLY","mRNA",0,"","","Lymphoid Compartment;Cytotoxicity","","Cytotoxic cells","GNLY","GNLY - mRNA","True"
"ESR1 - mRNA","NM_000125.2:1595","NS_IO_360_V1.0","ESR1","mRNA",0,"","","","hsa04915;hsa04917;hsa04919;hsa05205","","ESR1","ESR1 - mRNA","True"
"TNFSF8 - mRNA","NM_001244.3:399","NS_IO_360_V1.0","TNFSF8","mRNA",0,"","","","hsa04060","","TNFSF8","TNFSF8 - mRNA","True"
"CD86 - mRNA","NM_001206924.1:1685","NS_IO_360_V1.0","CD86","mRNA",0,"","","Lymphoid Compartment;Immune Cell Adhesion and Migration;Costimulatory Signaling","hsa04514;hsa04620;hsa04672;hsa04940;hsa05202;hsa05320;hsa05322;hsa05323;hsa05330;hsa05332;hsa05416","","CD86","CD86 - mRNA","True"
"HCK - mRNA","NM_001172129.1:325","NS_IO_360_V1.0","HCK","mRNA",0,"","","Myeloid Compartment;Cytokine and Chemokine Signaling","hsa04062;hsa04666","","HCK","HCK - mRNA","True"
"CLEC14A - mRNA","NM_175060.1:1930","NS_IO_360_V1.0","CLEC14A","mRNA",0,"","","Immune Cell Adhesion and Migration","","","CLEC14A","CLEC14A - mRNA","True"
"DLL4 - mRNA","NM_019074.2:893","NS_IO_360_V1.0","DLL4","mRNA",0,"","","Notch Signaling;Myeloid Compartment;Angiogenesis","hsa04330","","DLL4","DLL4 - mRNA","True"
"CLEC7A - mRNA","NM_197954.2:55","NS_IO_360_V1.0","CLEC7A","mRNA",0,"","","Myeloid Compartment;Immune Cell Adhesion and Migration","hsa04145;hsa05152","","CLEC7A","CLEC7A - mRNA","True"
"CD4 - mRNA","NM_000616.4:1524","NS_IO_360_V1.0","CD4","mRNA",0,"","","Immune Cell Adhesion and Migration;Costimulatory Signaling;Antigen Presentation","hsa04514;hsa04612;hsa04640;hsa04660;hsa05340","","CD4","CD4 - mRNA","True"
"CCR5 - mRNA","NM_000579.3:366","NS_IO_360_V1.0","CCR5","mRNA",0,"","","Cytokine and Chemokine Signaling;Antigen Presentation","hsa04060;hsa04062;hsa04144;hsa05145;hsa05203","","CCR5","CCR5 - mRNA","True"
"CTLA4 - mRNA","NM_001037631.2:392","NS_IO_360_V1.0","CTLA4","mRNA",0,"","","Lymphoid Compartment;Immune Cell Adhesion and Migration;Costimulatory Signaling","hsa04514;hsa04660;hsa05320;hsa05323","","CTLA4","CTLA4 - mRNA","True"
"IRF4 - mRNA","NM_002460.1:325","NS_IO_360_V1.0","IRF4","mRNA",0,"","","Lymphoid Compartment;Interferon Signaling;Cytotoxicity","","","IRF4","IRF4 - mRNA","True"
"BCL6B - mRNA","NM_181844.3:608","NS_IO_360_V1.0","BCL6B","mRNA",0,"","","Apoptosis","","","BCL6B","BCL6B - mRNA","True"
"C2 - mRNA","NM_000063.5:730","NS_IO_360_V1.0","C2","mRNA",0,"","","","hsa04610;hsa05133;hsa05150;hsa05322","","C2","C2 - mRNA","True"
"CDH5 - mRNA","NM_001795.3:3405","NS_IO_360_V1.0","CDH5","mRNA",0,"","","Immune Cell Adhesion and Migration","hsa04514;hsa04670","","CDH5","CDH5 - mRNA","True"
"CD8A - mRNA","NM_001768.6:2029","NS_IO_360_V1.0","CD8A","mRNA",0,"","","Lymphoid Compartment;Immune Cell Adhesion and Migration;Antigen Presentation","hsa04514;hsa04612;hsa04640;hsa04660;hsa05340","CD8 T cells","CD8A","CD8A - mRNA","True"
"TIE1 - mRNA","NM_005424.4:2940","NS_IO_360_V1.0","TIE1","mRNA",0,"","","","","","TIE1","TIE1 - mRNA","True"
"IL11 - mRNA","NM_000641.3:1723","NS_IO_360_V1.0","IL11","mRNA",0,"","","Lymphoid Compartment;JAK-STAT Signaling;Cytokine and Chemokine Signaling","hsa04060;hsa04630;hsa04640;hsa05323","","IL11","IL11 - mRNA","True"
"SELE - mRNA","NM_000450.2:257","NS_IO_360_V1.0","SELE","mRNA",0,"","","Immune Cell Adhesion and Migration","hsa04514;hsa04668;hsa04933;hsa05143;hsa05144","","SELE","SELE - mRNA","True"
"IL33 - mRNA","NM_033439.3:1842","NS_IO_360_V1.0","IL33","mRNA",0,"","","Cytokine and Chemokine Signaling","hsa04623;hsa05164","","IL33","IL33 - mRNA","True"
"CD19 - mRNA","NM_001770.4:1770","NS_IO_360_V1.0","CD19","mRNA",0,"","","PI3K-Akt;Lymphoid Compartment","hsa04151;hsa04640;hsa04662;hsa05169;hsa05340","B-cells","CD19","CD19 - mRNA","True"
"COL11A2 - mRNA","NM_001163771.1:516","NS_IO_360_V1.0","COL11A2","mRNA",0,"","","Matrix Remodeling and Metastasis","hsa04974","","COL11A2","COL11A2 - mRNA","True"
"PALMD - mRNA","NM_017734.4:224","NS_IO_360_V1.0","PALMD","mRNA",0,"","","","","","PALMD","PALMD - mRNA","False"
