"","ProbeID","Codeset.Name","Probe.Label","Analyte.Type","Is.Control","Control.Type","Related.Probes","Probe.Annotation","KEGG.Pathways","Cell.Type","Official.Gene.Name","probeLabel.Type","below.threshold"
"MAP3K5 - mRNA","NM_005923.3:3371","NS_IO_360_V1.0","MAP3K5","mRNA",0,"","","Metabolic Stress;MAPK","hsa04010;hsa04071;hsa04141;hsa04668;hsa04722;hsa04932;hsa05014","","MAP3K5","MAP3K5 - mRNA","False"
"CRABP2 - mRNA","NM_001199723.1:802","NS_IO_360_V1.0","CRABP2","mRNA",0,"","","Myeloid Compartment","","","CRABP2","CRABP2 - mRNA","False"
"NFKBIE - mRNA","NM_004556.2:876","NS_IO_360_V1.0","NFKBIE","mRNA",0,"","","NF-kappaB Signaling","hsa04660;hsa04662;hsa04722;hsa04920;hsa05169","","NFKBIE","NFKBIE - mRNA","False"
"BID - mRNA","NM_001196.3:1604","NS_IO_360_V1.0","BID","mRNA",0,"","","Apoptosis","hsa04071;hsa04115;hsa04210;hsa04650;hsa04932;hsa05010;hsa05014;hsa05152;hsa05200;hsa05416","","BID","BID - mRNA","False"
"PVR - mRNA","NM_001135768.2:448","NS_IO_360_V1.0","PVR","mRNA",0,"","","Lymphoid Compartment;Immune Cell Adhesion and Migration","hsa04514","","PVR","PVR - mRNA","False"
"G6PD - mRNA","NM_000402.4:923","NS_IO_360_V1.0","G6PD","mRNA",1,"Housekeeping","","","","","G6PD","G6PD - mRNA","False"
"TBXAS1 - mRNA","NM_001061.4:709","NS_IO_360_V1.0","TBXAS1","mRNA",0,"","","","hsa04611","","TBXAS1","TBXAS1 - mRNA","False"
"MB21D1 - mRNA","NM_138441.2:1198","NS_IO_360_V1.0","MB21D1","mRNA",0,"","","","hsa04623","","CGAS","MB21D1 - mRNA","False"
"TMEM173 - mRNA","NM_198282.1:725","NS_IO_360_V1.0","TMEM173","mRNA",0,"","","","hsa04622;hsa04623","","TMEM173","TMEM173 - mRNA","False"
"PIK3R2 - mRNA","NM_005027.3:344","NS_IO_360_V1.0","PIK3R2","mRNA",0,"","","PI3K-Akt;Metabolic Stress;MAPK;JAK-STAT Signaling;Immune Cell Adhesion and Migration;Hypoxia;Cytokine and Chemokine Signaling;Costimulatory Signaling;Autophagy","hsa04012;hsa04014;hsa04015;hsa04022;hsa04024;hsa04062;hsa04066;hsa04068;hsa04070;hsa04071;hsa04072;hsa04150;hsa04151;hsa04152;hsa04210;hsa04211;hsa04213;hsa04261;hsa04370;hsa04380;hsa04510;hsa04550;hsa04611;hsa04620;hsa04630;hsa04650;hsa04660;hsa04662;hsa04664;hsa04666;hsa04668;hsa04670;hsa04722;hsa04725;hsa04750;hsa04810;hsa04910;hsa04914;hsa04915;hsa04917;hsa04919;hsa04921;hsa04923;hsa04930;hsa04931;hsa04932;hsa04933;hsa04960;hsa04973;hsa05100;hsa05142;hsa05145;hsa05146;hsa05160;hsa05161;hsa05162;hsa05164;hsa05166;hsa05169;hsa05200;hsa05203;hsa05205;hsa05206;hsa05210;hsa05211;hsa05212;hsa05213;hsa05214;hsa05215;hsa05218;hsa05220;hsa05221;hsa05222;hsa05223;hsa05230;hsa05231","","PIK3R2","PIK3R2 - mRNA","False"
"PIAS4 - mRNA","NM_015897.2:454","NS_IO_360_V1.0","PIAS4","mRNA",0,"","","JAK-STAT Signaling;DNA Damage Repair;Cell Proliferation","hsa04064;hsa04120;hsa04630","","PIAS4","PIAS4 - mRNA","False"
"MSH6 - mRNA","NM_000179.2:1015","NS_IO_360_V1.0","MSH6","mRNA",0,"","","DNA Damage Repair","hsa03430;hsa05200;hsa05210","","MSH6","MSH6 - mRNA","False"
"TNFRSF10D - mRNA","NM_003840.4:838","NS_IO_360_V1.0","TNFRSF10D","mRNA",0,"","","","hsa04060;hsa04210;hsa04650;hsa05162;hsa05164","","TNFRSF10D","TNFRSF10D - mRNA","False"
"PRKAA2 - mRNA","NM_006252.3:4014","NS_IO_360_V1.0","PRKAA2","mRNA",0,"","","PI3K-Akt;Metabolic Stress;Autophagy","hsa04068;hsa04150;hsa04151;hsa04152;hsa04211;hsa04213;hsa04910;hsa04920;hsa04921;hsa04922;hsa04931;hsa04932;hsa05410","","PRKAA2","PRKAA2 - mRNA","False"
"KAT2B - mRNA","NM_003884.4:1180","NS_IO_360_V1.0","KAT2B","mRNA",0,"","","Notch Signaling;Epigenetic Regulation","hsa04330;hsa04919;hsa05166;hsa05203","","KAT2B","KAT2B - mRNA","False"
"S100A9 - mRNA","NM_002965.3:137","NS_IO_360_V1.0","S100A9","mRNA",0,"","","Myeloid Compartment","","","S100A9","S100A9 - mRNA","False"
"CXCL3 - mRNA","NM_002090.2:467","NS_IO_360_V1.0","CXCL3","mRNA",0,"","","Myeloid Compartment;Cytokine and Chemokine Signaling","hsa04060;hsa04062;hsa04668;hsa05132;hsa05134","","CXCL3","CXCL3 - mRNA","False"
"EPM2AIP1 - mRNA","NM_014805.3:1322","NS_IO_360_V1.0","EPM2AIP1","mRNA",0,"","","","","","EPM2AIP1","EPM2AIP1 - mRNA","False"
"ZEB2 - mRNA","NM_001171653.1:1879","NS_IO_360_V1.0","ZEB2","mRNA",0,"","","","hsa05206","","ZEB2","ZEB2 - mRNA","False"
"MKI67 - mRNA","NM_002417.2:2005","NS_IO_360_V1.0","MKI67","mRNA",0,"","","Cell Proliferation","","","MKI67","MKI67 - mRNA","False"
"UBE2C - mRNA","NM_007019.2:445","NS_IO_360_V1.0","UBE2C","mRNA",0,"","","Metabolic Stress;Cell Proliferation;Antigen Presentation","hsa04120","","UBE2C","UBE2C - mRNA","False"
"ANLN - mRNA","NM_018685.2:240","NS_IO_360_V1.0","ANLN","mRNA",0,"","","Cell Proliferation","","","ANLN","ANLN - mRNA","False"
"BIRC5 - mRNA","NM_001168.2:1215","NS_IO_360_V1.0","BIRC5","mRNA",0,"","","Cell Proliferation;Apoptosis","hsa04390;hsa05161;hsa05200;hsa05210","","BIRC5","BIRC5 - mRNA","False"
"CEP55 - mRNA","NM_018131.3:570","NS_IO_360_V1.0","CEP55","mRNA",0,"","","Cell Proliferation","","","CEP55","CEP55 - mRNA","False"
"PARP9 - mRNA","NM_001146103.1:1188","NS_IO_360_V1.0","PARP9","mRNA",0,"","","","","","PARP9","PARP9 - mRNA","False"
"IFNGR1 - mRNA","NM_000416.2:1025","NS_IO_360_V1.0","IFNGR1","mRNA",0,"","","JAK-STAT Signaling;Interferon Signaling;Hypoxia","hsa04060;hsa04066;hsa04380;hsa04630;hsa04650;hsa05132;hsa05140;hsa05142;hsa05145;hsa05152;hsa05162;hsa05164;hsa05168;hsa05321","","IFNGR1","IFNGR1 - mRNA","False"
"SF3A1 - mRNA","NM_005877.4:1485","NS_IO_360_V1.0","SF3A1","mRNA",1,"Housekeeping","","","","","SF3A1","SF3A1 - mRNA","False"
"RBL2 - mRNA","NM_001323611.1:1085","NS_IO_360_V1.0","RBL2","mRNA",0,"","","TGF-beta Signaling;PI3K-Akt;Cell Proliferation","hsa04068;hsa04110;hsa04151;hsa05203","","RBL2","RBL2 - mRNA","False"
"IGF2R - mRNA","NM_000876.2:7820","NS_IO_360_V1.0","IGF2R","mRNA",0,"","","Lymphoid Compartment;Interferon Signaling;Cytotoxicity","hsa04142;hsa04144","","IGF2R","IGF2R - mRNA","False"
"PUM1 - mRNA","NM_001020658.1:640","NS_IO_360_V1.0","PUM1","mRNA",1,"Housekeeping","","","","","PUM1","PUM1 - mRNA","False"
"TP53 - mRNA","NM_000546.2:1330","NS_IO_360_V1.0","TP53","mRNA",0,"","","Wnt Signaling;PI3K-Akt;Notch Signaling;Metabolic Stress;MAPK;DNA Damage Repair;Cell Proliferation;Apoptosis","hsa04010;hsa04071;hsa04110;hsa04115;hsa04151;hsa04210;hsa04211;hsa04310;hsa04722;hsa04919;hsa05014;hsa05016;hsa05160;hsa05161;hsa05162;hsa05166;hsa05168;hsa05169;hsa05200;hsa05202;hsa05203;hsa05205;hsa05206;hsa05210;hsa05212;hsa05213;hsa05214;hsa05215;hsa05216;hsa05217;hsa05218;hsa05219;hsa05220;hsa05222;hsa05223;hsa05230","","TP53","TP53 - mRNA","False"
